source,target,value
Cindee,Terra,7
Dev,Dwain,12
Dwain,Harland,13
Sigfrid,Madelon,9
Tobi,Debera,3
Becky,Ulberto,7
Helsa,Teriann,8
Preston,Griffith,13
Bobby,Scarlett,2
Harland,Sigfrid,15
Scarlett,Constantine,6
Shelden,Bobby,6
Griffith,Shelden,11
Tobi,Harland,3
Constantine,Becky,9
Helsa,Sigfrid,12
Becky,Benedicto,15
Preston,Sigfrid,4
Dwain,Helsa,3
Bobby,Becky,13
Dev,Shannen,12
Preston,Benedicto,3
Becky,Preston,14
Dev,Becky,3
Griffith,Teriann,12
Bobby,Di,3
Harland,Benedicto,10
Finlay,Benedicto,12
Harland,Magdalen,1
Sigfrid,Gayle,3
Tobi,Cindee,13
Di,Scarlett,5
Shannen,Finlay,1
Finlay,Griffith,1
Bobby,Cindee,5
Cindee,Cindee,5
Lucille,Preston,15
Helsa,Finlay,8
Shannen,Di,4
Harland,Sigfrid,6
Cindee,Benedicto,15
Robbie,Dwain,12
Helsa,Lucille,8
Bobby,Debera,2
Preston,Helsa,12
Madelon,Helsa,1
Tobi,Dev,8
Magdalen,Teriann,15
Scarlett,Dwain,9
Di,Tobi,7
Shannen,Sigfrid,8
Mada,Becky,11
Robbie,Finlay,1
Helsa,Madelon,10
Scarlett,Magdalen,9
Preston,Cindee,2
Bobby,Bobby,3
Godart,Becky,9
Debera,Finlay,12
Harland,Debera,6
Shelden,Magdalen,14
Shelden,Cindee,5
Terra,Harland,14
Magdalen,Scarlett,8
Mira,Becky,6
Mira,Finlay,12
Becky,Finlay,3
Dwain,Magdalen,3
Griffith,Sigfrid,3
Teriann,Mira,11
Benedicto,Madelon,6
Griffith,Preston,15
Di,Ulberto,12
Sigfrid,Bobby,3
Dev,Madelon,8
Sigfrid,Bobby,14
Helsa,Godart,2
Helsa,Cindee,8
Shelden,Godart,5
Shannen,Bobby,1
Bobby,Cindee,5
Robbie,Di,7
Gayle,Benedicto,4
Bobby,Finlay,12
Godart,Constantine,7
Shannen,Cindee,11
Preston,Robbie,10
Helsa,Dev,5
Shelden,Mira,13
Teriann,Constantine,2
Cindee,Griffith,11
Godart,Mada,2
Finlay,Becky,4
Becky,Harland,7
Dwain,Bobby,7
Di,Finlay,14
Gayle,Tobi,7
Sigfrid,Ulberto,14
Magdalen,Finlay,4
Teriann,Finlay,5
